CustomerID (index),Prob_Churn,Rischio
2891,1.0,Alto
2194,1.0,Alto
6438,1.0,Alto
2129,1.0,Alto
3030,1.0,Alto
3301,1.0,Alto
459,1.0,Alto
6924,1.0,Alto
3349,1.0,Alto
1976,1.0,Alto
1954,1.0,Alto
3495,1.0,Alto
6933,1.0,Alto
1731,1.0,Alto
6590,1.0,Alto
5872,1.0,Alto
1561,1.0,Alto
6623,1.0,Alto
5782,1.0,Alto
4453,1.0,Alto
809,1.0,Alto
4536,1.0,Alto
1325,1.0,Alto
4800,1.0,Alto
1205,1.0,Alto
1144,1.0,Alto
133,1.0,Alto
2464,1.0,Alto
5,1.0,Alto
7032,1.0,Alto
6495,0.9980554785020804,Alto
2577,0.99,Alto
3771,0.99,Alto
4759,0.99,Alto
5653,0.99,Alto
3671,0.99,Alto
5288,0.99,Alto
6482,0.99,Alto
6488,0.99,Alto
5538,0.99,Alto
1948,0.99,Alto
474,0.99,Alto
3209,0.99,Alto
3527,0.99,Alto
1505,0.99,Alto
6633,0.99,Alto
2208,0.99,Alto
5098,0.99,Alto
4081,0.99,Alto
20,0.99,Alto
3689,0.987341676147137,Alto
3633,0.987341676147137,Alto
5411,0.98,Alto
1783,0.98,Alto
6552,0.98,Alto
6168,0.98,Alto
2607,0.98,Alto
3763,0.98,Alto
755,0.98,Alto
6365,0.98,Alto
970,0.98,Alto
3455,0.98,Alto
2589,0.98,Alto
5165,0.98,Alto
6866,0.98,Alto
7010,0.98,Alto
5481,0.98,Alto
997,0.98,Alto
2631,0.98,Alto
6660,0.98,Alto
5573,0.98,Alto
5874,0.98,Alto
3352,0.98,Alto
3551,0.98,Alto
2275,0.98,Alto
6491,0.98,Alto
301,0.98,Alto
1371,0.98,Alto
6473,0.98,Alto
2191,0.98,Alto
2888,0.98,Alto
2861,0.98,Alto
6764,0.98,Alto
4212,0.98,Alto
2077,0.9735581694541444,Alto
5454,0.97,Alto
5341,0.97,Alto
1953,0.97,Alto
1000,0.97,Alto
1026,0.97,Alto
5812,0.97,Alto
3939,0.97,Alto
6232,0.97,Alto
1334,0.97,Alto
672,0.97,Alto
2133,0.97,Alto
5759,0.97,Alto
2821,0.97,Alto
1704,0.97,Alto
2688,0.97,Alto
2955,0.97,Alto
677,0.97,Alto
6839,0.97,Alto
139,0.97,Alto
1148,0.97,Alto
5522,0.97,Alto
4315,0.97,Alto
4353,0.97,Alto
3325,0.97,Alto
1410,0.97,Alto
4517,0.97,Alto
5390,0.97,Alto
2510,0.97,Alto
1073,0.97,Alto
4495,0.9678460593025042,Alto
6267,0.9678460593025042,Alto
1650,0.9631415563149021,Alto
489,0.96,Alto
1696,0.96,Alto
6846,0.96,Alto
5640,0.96,Alto
3749,0.96,Alto
5706,0.96,Alto
171,0.96,Alto
2156,0.96,Alto
5468,0.96,Alto
983,0.96,Alto
6868,0.96,Alto
6741,0.96,Alto
5063,0.96,Alto
4232,0.96,Alto
2039,0.96,Alto
3248,0.96,Alto
4585,0.96,Alto
1238,0.96,Alto
826,0.96,Alto
3322,0.96,Alto
80,0.96,Alto
410,0.96,Alto
3431,0.96,Alto
6064,0.96,Alto
5826,0.9584670894380056,Alto
5783,0.95,Alto
3271,0.95,Alto
1412,0.95,Alto
207,0.95,Alto
3923,0.95,Alto
898,0.95,Alto
5134,0.95,Alto
1600,0.95,Alto
3385,0.95,Alto
4084,0.95,Alto
534,0.95,Alto
2069,0.95,Alto
2007,0.95,Alto
3310,0.95,Alto
5803,0.95,Alto
2517,0.95,Alto
5621,0.95,Alto
5906,0.95,Alto
5393,0.95,Alto
3595,0.95,Alto
6716,0.95,Alto
6811,0.95,Alto
6878,0.95,Alto
5272,0.95,Alto
5395,0.95,Alto
2662,0.95,Alto
4955,0.95,Alto
4946,0.95,Alto
446,0.9485053631694441,Alto
4837,0.9482152253246202,Alto
2753,0.94,Alto
4997,0.94,Alto
5628,0.94,Alto
969,0.94,Alto
6748,0.94,Alto
6368,0.94,Alto
1747,0.94,Alto
2679,0.94,Alto
6273,0.94,Alto
2163,0.94,Alto
4901,0.94,Alto
6219,0.94,Alto
6215,0.94,Alto
6562,0.94,Alto
1662,0.94,Alto
4681,0.94,Alto
5997,0.94,Alto
7008,0.94,Alto
585,0.94,Alto
926,0.94,Alto
915,0.94,Alto
2465,0.94,Alto
6504,0.94,Alto
4226,0.94,Alto
6620,0.94,Alto
1651,0.94,Alto
5815,0.94,Alto
1401,0.94,Alto
3402,0.94,Alto
5932,0.94,Alto
475,0.94,Alto
2246,0.94,Alto
6862,0.94,Alto
1772,0.94,Alto
147,0.94,Alto
2167,0.94,Alto
1236,0.94,Alto
4956,0.94,Alto
419,0.94,Alto
